,Player,Pos,Tm,Age,Tm,AST,STL,BLK,PTS,FG,FGA
286,Solomon Hill,SF,MEM,28,MEM,94,31,7,274,96,233
287,Solomon Hill,SF,MIA,28,MIA,10,12,5,49,14,45
288,Jaylen Hoard,SF,POR,20,POR,4,5,0,38,15,32
289,Aaron Holiday,PG,IND,23,IND,225,55,16,627,233,563
290,Jrue Holiday,SG,NOP,29,NOP,408,99,48,1167,458,1006
291,Justin Holiday,SG,IND,30,IND,93,87,46,603,208,486
292,Rondae Hollis-Jefferson,SF,TOR,25,TOR,106,46,23,418,155,329
293,Richaun Holmes,C,SAC,26,SAC,42,41,56,539,223,344
294,Rodney Hood,SF,POR,27,POR,32,17,4,230,87,172
295,Al Horford,C,PHI,33,PHI,270,52,61,798,319,709
296,Talen Horton-Tucker,SG,LAL,19,LAL,6,8,1,34,14,30
297,Danuel House,SF,HOU,26,HOU,85,67,34,662,230,539
298,Dwight Howard,C,LAL,34,LAL,45,31,79,517,202,277
299,William Howard,PF,HOU,26,HOU,1,0,0,0,0,4
300,Kevin Huerter,SG,ATL,21,ATL,213,51,27,684,252,610
301,De'Andre Hunter,SF,ATL,22,ATL,112,44,18,778,280,683
302,Chandler Hutchison,SF,CHI,23,CHI,26,27,7,218,80,175
303,Serge Ibaka,C,TOR,30,TOR,77,28,46,845,343,670
304,Andre Iguodala,SG,MIA,36,MIA,51,14,21,96,38,88
305,Ersan İlyasova,PF,MIL,32,MIL,49,24,17,414,146,313
306,Joe Ingles,SF,UTA,32,UTA,373,65,11,707,246,553
307,Brandon Ingram,PF,NOP,22,NOP,259,61,38,1477,507,1096
308,Kyrie Irving,PG,BRK,27,BRK,128,27,10,548,199,416
309,Jonathan Isaac,SF,ORL,22,ORL,48,53,78,404,156,332
310,Wesley Iwundu,SF,ORL,25,ORL,60,25,13,300,97,233
311,Frank Jackson,PG,NOP,21,NOP,61,17,4,371,134,331
312,Jaren Jackson Jr.,C,MEM,20,MEM,78,40,92,990,353,753
313,Josh Jackson,SG,MEM,22,MEM,35,18,9,198,70,159
314,Justin Jackson,PF,DAL,24,DAL,52,15,10,360,135,341
315,Reggie Jackson,PG,TOT,29,TOT,126,13,5,370,134,326
316,Reggie Jackson,PG,DET,29,DET,72,8,1,209,76,198
317,Reggie Jackson,PG,LAC,29,LAC,54,5,4,161,58,128
318,Justin James,SG,SAC,23,SAC,18,6,9,89,35,84
319,LeBron James,PG,LAL,35,LAL,684,78,36,1698,643,1303
320,Amile Jefferson,PF,ORL,26,ORL,4,1,3,15,5,14
321,DaQuan Jeffries,SG,SAC,22,SAC,7,4,1,50,20,40
322,Ty Jerome,PG,PHO,22,PHO,44,15,3,102,38,113
323,Alize Johnson,SF,IND,23,IND,7,3,2,34,12,29
324,B.J. Johnson,SF,ORL,24,ORL,3,3,0,30,9,32
325,Cameron Johnson,PF,PHO,23,PHO,69,36,20,504,176,405
326,James Johnson,PF,TOT,32,TOT,74,25,32,270,103,215
327,James Johnson,PF,MIA,32,MIA,21,6,13,102,39,87
328,James Johnson,PF,MIN,32,MIN,53,19,19,168,64,128
329,Keldon Johnson,SF,SAS,20,SAS,15,14,2,154,53,89
330,Stanley Johnson,PF,TOR,23,TOR,20,6,4,60,22,59
331,Tyler Johnson,SG,TOT,27,TOT,74,16,9,274,97,250
332,Tyler Johnson,SG,PHO,27,PHO,50,12,8,178,65,171
